;Barri;Habitacions;Lavabo;Metres;Preu;TipusImmoble
325;Vallcarca - Penitents;3;2;110;2.400 €;Piso
326;St. Pere - Sta. Caterina - El Born;;1;55;1.100 €;Loft
327;Sant Gervasi - Bonanova;3;3;135;1.400 €;Piso
328;Dreta de l´Eixample;3;3;120;3.200 €;Piso
329;Dreta de l´Eixample;3;2;100;2.000 €;Apartamento
330;Besòs - Maresme;2;1;58;850 €;Piso
331;Esquerra Alta de l´Eixample;2;1;74;1.600 €;Apartamento
332;Sant Gervasi - Galvany;4;2;140;1.990 €;Piso
333;Dreta de l´Eixample;6;2;150;2.350 €;Piso
334;Sagrada Família;3;1;71;1.200 €;Piso
335;Sants;4;2;205;1.700 €;Piso
336;Sant Gervasi - Galvany;;1;70;1.100 €;Ático
337;Taxonera;5;3;110;2.300 €;Ático
338;Fort Pienc;4;2;130;1.575 €;Piso
339;Vallcarca - Penitents;3;2;106;1.100 €;Ático
340;St. Pere - Sta. Caterina - El Born;;1;48;1.000 €;Piso
341;St. Pere - Sta. Caterina - El Born;;1;48;950 €;Piso
342;Taxonera;3;2;111;1.600 €;Casa
343;Sagrada Família;3;1;77;1.400 €;Piso
344;Tres Torres;4;3;170;2.700 €;Piso
345;Gòtic;2;2;110;2.250 €;Piso
346;St. Pere - Sta. Caterina - El Born;2;2;100;1.500 €;Piso
347;Dreta de l´Eixample;4;3;240;2.950 €;Piso
348;Dreta de l´Eixample;3;1;118;1.500 €;Piso
349;St. Pere - Sta. Caterina - El Born;3;1;92;1.300 €;Piso
350;St. Pere - Sta. Caterina - El Born;3;1;92;1.200 €;Apartamento
351;Putget - Farró;3;3;196;2.700 €;Piso
352;Esquerra Alta de l´Eixample;3;1;65;1.000 €;Piso
353;Diagonal Mar - La Mar Bella;4;2;173;4.500 €;Piso
354;Dreta de l´Eixample;3;2;120;2.350 €;Piso
355;Les Corts;;1;45;950 €;Apartamento
356;Pedralbes;3;3;192;3.500 €;Ático
357;Esquerra Alta de l´Eixample;4;1;80;1.300 €;Piso
358;Esquerra Alta de l´Eixample;2;2;91;1.390 €;Piso
359;Provençals del Poblenou;3;1;99;1.250 €;Piso
360;Putget - Farró;2;1;67;1.150 €;Piso
361;Sants;4;3;480;6.000 €;Casa
362;Sant Gervasi - Bonanova;3;2;120;1.550 €;Piso
363;Esquerra Baixa de l´Eixample;4;2;110;2.200 €;Piso
364;Sarrià;2;1;70;1.100 €;Piso
365;Sarrià;4;2;167;2.400 €;Piso
366;Sant Gervasi - Bonanova;3;2;102;1.800 €;Piso
367;Sant Gervasi - Bonanova;2;1;71;1.100 €;Piso
368;Esquerra Alta de l´Eixample;3;2;150;2.300 €;Piso
369;Esquerra Alta de l´Eixample;4;2;139;1.890 €;Piso
370;Poblenou;3;1;85;1.100 €;Piso
371;Tres Torres;5;4;220;4.500 €;Ático
372;Sarrià;5;3;206;3.200 €;Piso
373;Sant Gervasi - Galvany;2;2;70;1.300 €;Piso
374;La Marina-Montjuïc;3;2;93;1.500 €;Piso
375;Fort Pienc;2;2;78;1.400 €;Piso
376;Glòries El Parc;;1;85;1.700 €;Piso
377;Glòries El Parc;3;2;104;1.300 €;Dúplex
378;Sant Antoni;5;2;125;1.350 €;Piso
379;Dreta de l´Eixample;3;2;141;1.600 €;Apartamento
380;Taxonera;4;2;145;1.600 €;Piso
381;Sant Ramon - Maternitat;3;1;85;1.300 €;Ático
382;Gòtic;2;1;75;1.600 €;Ático
383;Fort Pienc;3;1;81;1.350 €;Ático
384;Sant Gervasi - Bonanova;3;2;100;1.600 €;Piso
385;Sant Gervasi - Galvany;3;2;190;2.200 €;Piso
386;Sant Gervasi - Galvany;6;3;240;3.900 €;Ático
387;St. Pere - Sta. Caterina - El Born;;1;72;1.100 €;Piso
388;Esquerra Alta de l´Eixample;4;2;102;1.600 €;Piso
389;Sagrada Família;3;1;80;1.200 €;Piso
390;Baix Guinardó;3;1;81;1.200 €;Piso
391;Diagonal Mar - La Mar Bella;3;2;113;2.450 €;Apartamento
392;Tres Torres;;1;70;1.600 €;Ático
393;Les Corts;4;3;178;2.000 €;Piso
394;Esquerra Alta de l´Eixample;3;2;160;2.300 €;Piso
395;Sant Gervasi - Galvany;5;4;210;3.500 €;Piso
396;Pedralbes;4;3;251;3.200 €;Piso
397;Fort Pienc;3;1;77;1.050 €;Piso
398;Raval;3;2;80;1.200 €;Piso
399;Les Corts;2;1;60;1.200 €;Piso
400;Taxonera;3;2;115;1.700 €;Dúplex
401;Sant Gervasi - Bonanova;4;2;105;1.300 €;Piso
402;Dreta de l´Eixample;3;2;160;2.300 €;Piso
403;Esquerra Baixa de l´Eixample;3;2;82;1.225 €;Piso
404;Sant Antoni;3;2;82;1.225 €;Piso
405;Taxonera;5;2;225;2.400 €;Ático
406;Esquerra Baixa de l´Eixample;3;2;103;1.200 €;Piso
407;Dreta de l´Eixample;2;2;105;1.750 €;Piso
408;Sarrià;2;1;80;1.200 €;Ático
409;Sant Gervasi - Bonanova;4;2;220;2.500 €;Piso
410;Esquerra Alta de l´Eixample;3;1;86;1.300 €;Piso
411;Esquerra Alta de l´Eixample;;1;65;900 €;Piso
412;Camp d´en Grassot - Gràcia N.;3;1;70;1.500 €;Piso
413;Sarrià;4;4;264;4.350 €;Casa
414;Esquerra Alta de l´Eixample;4;2;180;3.200 €;Apartamento
415;Putget - Farró;;1;42;1.100 €;Piso
416;Raval;2;2;82;2.100 €;Piso
417;Raval;2;2;90;2.100 €;Piso
418;Camp d´en Grassot - Gràcia N.;3;1;69;1.500 €;Piso
419;Pedralbes;4;3;158;2.200 €;Ático
420;Vila de Gràcia;;1;50;1.200 €;Piso
421;Esquerra Baixa de l´Eixample;4;1;83;1.275 €;Piso
422;Sarrià;2;1;80;1.300 €;Piso
423;Sant Gervasi - Galvany;;1;50;950 €;Piso
424;St. Pere - Sta. Caterina - El Born;3;2;80;1.950 €;Piso
425;Guinardó;4;1;59;995 €;Piso
426;Dreta de l´Eixample;;1;60;1.200 €;Piso
427;Carmel;2;1;70;850 €;Piso
428;Esquerra Baixa de l´Eixample;;1;63;1.050 €;Piso
429;Gòtic;;1;60;1.150 €;Piso
430;Sant Gervasi - Galvany;;1;40;1.250 €;Ático
431;Putget - Farró;3;1;75;1.100 €;Piso
432;Sant Antoni;3;2;92;1.450 €;Piso
433;Esquerra Alta de l´Eixample;4;3;210;3.200 €;Piso
434;Dreta de l´Eixample;;1;67;1.250 €;Apartamento
435;Dreta de l´Eixample;3;2;109;1.500 €;Piso
436;Dreta de l´Eixample;;1;55;1.500 €;Apartamento
437;Camp d´en Grassot - Gràcia N.;2;1;69;1.100 €;Piso
438;Sarrià;2;1;65;1.390 €;Piso
439;Vila de Gràcia;4;2;110;1.400 €;Piso
440;Raval;;1;75;990 €;Piso
441;Pedralbes;;1;44;1.100 €;Piso
442;Putget - Farró;4;3;147;2.300 €;Piso
443;Sant Ramon - Maternitat;4;3;101;1.350 €;Piso
444;La Salut;4;1;42;1.190 €;Piso
445;Vila de Gràcia;4;1;42;1.190 €;Piso
446;Esquerra Alta de l´Eixample;2;2;95;1.550 €;Piso
447;Gòtic;2;1;65;1.100 €;Piso
448;Provençals del Poblenou;4;1;90;1.850 €;Ático
449;Esquerra Alta de l´Eixample;;1;65;2.000 €;Ático
450;Gòtic;4;2;145;2.500 €;Piso
451;Esquerra Alta de l´Eixample;3;2;105;1.500 €;Piso
452;Putget - Farró;;1;50;1.100 €;Apartamento
453;Sagrada Família;3;2;79;1.200 €;Piso
