;Barri;Habitacions;Lavabo;Metres;Preu;TipusImmoble
5160;Sagrada Família;3;1;69;1.375 €;Piso
5161;Esquerra Alta de l´Eixample;2;2;75;1.600 €;Piso
5162;St. Pere - Sta. Caterina - El Born;2;2;75;1.600 €;Piso
5163;Pedralbes;4;6;350;8.293 €;Piso
5164;Hostafrancs;;1;20;650 €;Piso
5165;Glòries El Parc;2;2;308;2.900 €;Loft
5166;Les Corts;;1;40;820 €;Piso
5167;La Sagrera;3;2;75;1.100 €;Piso
5168;La Sagrera;3;2;75;1.100 €;Piso
5169;Gòtic;2;2;110;1.400 €;Piso
5170;Prosperitat;3;1;55;825 €;Piso
5171;La Salut;;1;45;800 €;Piso
5172;Vallcarca - Penitents;3;4;90;1.100 €;Piso
5173;Camp d´en Grassot - Gràcia N.;2;1;143;1.575 €;Piso
5174;Barceloneta;2;1;45;1.055 €;Piso
5175;Esquerra Alta de l´Eixample;;1;50;1.225 €;Piso
5176;Fort Pienc;2;1;80;1.300 €;Piso
5177;Sarrià;;1;45;995 €;Piso
5178;Barceloneta;;1;90;3.100 €;Ático
5179;Sant Ramon - Maternitat;2;2;95;1.200 €;Piso
5180;Sant Gervasi - Bonanova;3;2;115;3.143 €;Piso
5181;Barceloneta;2;1;45;990 €;Piso
5182;Sant Gervasi - Bonanova;4;4;272;5.109 €;Planta
5183;Dreta de l´Eixample;;1;75;1.550 €;Ático
5184;Esquerra Alta de l´Eixample;4;2;114;1.470 €;Piso
5185;Vila de Gràcia;;1;24;550 €;Apartamento
5186;Provençals del Poblenou;;1;80;1.100 €;Piso
5187;Raval;5;3;178;3.500 €;Apartamento
5188;Camp d´en Grassot - Gràcia N.;3;1;55;950 €;Piso
5189;Sagrada Família;;1;50;950 €;Loft
5190;Sant Gervasi - Bonanova;3;2;120;1.700 €;Piso
5191;Gòtic;2;1;80;2.150 €;Piso
5192;Vilapicina - Torre Llobeta;3;1;81;1.000 €;Piso
5193;Sant Gervasi - Galvany;6;3;250;4.900 €;Ático
5194;St. Pere - Sta. Caterina - El Born;2;1;55;990 €;Piso
5195;Sant Gervasi - Galvany;3;4;180;3.400 €;Piso
5196;St. Pere - Sta. Caterina - El Born;;1;45;750 €;Piso
5197;Putget - Farró;;1;41;750 €;Piso
5198;Camp de l´Arpa;3;2;100;1.850 €;Piso
5199;Hostafrancs;2;1;60;1.400 €;Piso
5200;Raval;;1;50;980 €;Piso
5201;Vila de Gràcia;3;2;90;1.575 €;Piso
5202;Gòtic;3;2;90;1.050 €;Piso
5203;Can Baró;;1;53;750 €;Piso
5204;Hostafrancs;3;2;160;1.450 €;Dúplex
5205;Sant Gervasi - Galvany;;2;72;2.150 €;Ático
5206;Sagrada Família;3;1;93;1.400 €;Ático
5207;Diagonal Mar - La Mar Bella;3;2;90;1.990 €;Piso
5208;Sagrada Família;2;1;65;1.200 €;Piso
5209;Sants;;1;50;695 €;Piso
5210;Badal;2;1;60;725 €;Piso
5211;Dreta de l´Eixample;3;2;152;4.000 €;Piso
5212;La Sagrera;2;1;75;925 €;Piso
5213;Sant Antoni;3;1;70;1.350 €;Piso
5214;Diagonal Mar - La Mar Bella;3;2;146;2.450 €;Piso
5215;Sants;2;1;65;1.000 €;Piso
5216;Sants;2;1;85;1.300 €;Piso
5217;La Sagrera;4;2;90;1.385 €;Piso
5218;Putget - Farró;4;2;90;1.400 €;Piso
5219;Esquerra Alta de l´Eixample;4;2;92;1.150 €;Apartamento
5220;Sant Gervasi - Galvany;2;1;60;1.250 €;Piso
5221;Camp de l´Arpa;;1;60;900 €;Piso
5222;Les Corts;;1;80;1.400 €;Piso
5223;Raval;;1;190;1.350 €;Estudio
5224;Esquerra Alta de l´Eixample;2;2;90;1.800 €;Piso
5225;Navas;3;1;90;1.200 €;Piso
5226;Diagonal Mar - La Mar Bella;2;1;60;1.400 €;Piso
5227;Raval;;1;55;990 €;Piso
5228;Diagonal Mar - La Mar Bella;3;2;100;2.900 €;Piso
5229;Esquerra Alta de l´Eixample;3;2;100;1.600 €;Piso
5230;Raval;2;1;80;1.250 €;Piso
5231;Esquerra Baixa de l´Eixample;2;1;85;1.150 €;Piso
5232;Dreta de l´Eixample;3;3;157;2.300 €;Piso
5233;Barceloneta;;1;35;1.050 €;Piso
5234;Sant Gervasi - Bonanova;4;5;215;6.586 €;Piso
5235;Barceloneta;;1;28;650 €;Loft
5236;Gòtic;2;1;126;1.850 €;Piso
5237;El Clot;3;2;112;1.450 €;Piso
5238;Dreta de l´Eixample;;1;55;1.300 €;Piso
5239;Poblenou;2;1;60;1.200 €;Piso
5240;Sagrada Família;2;1;75;1.300 €;Piso
5241;Poblenou;4;2;131;2.000 €;Piso
5242;Poble Sec;2;1;72;1.150 €;Piso
5243;Esquerra Baixa de l´Eixample;3;1;80;1.180 €;Piso
5244;Raval;2;2;81;980 €;Piso
5245;Barceloneta;2;2;108;2.300 €;Piso
5246;Provençals del Poblenou;2;2;80;1.800 €;Piso
5247;Poblenou;3;2;99;2.700 €;Piso
5248;Gòtic;;1;73;1.050 €;Piso
5249;Camp d´en Grassot - Gràcia N.;;1;45;680 €;Piso
5250;Dreta de l´Eixample;3;2;94;2.500 €;Piso
5251;Sagrada Família;3;1;75;1.200 €;Piso
5252;Glòries El Parc;3;2;92;1.300 €;Piso
5253;Vila de Gràcia;2;1;45;1.000 €;Piso
5254;Sagrada Família;;1;45;1.800 €;Piso
5255;Raval;2;1;55;1.000 €;Piso
5256;Dreta de l´Eixample;;1;65;1.350 €;Piso
5257;Sant Gervasi - Bonanova;;1;50;1.000 €;Piso
5258;Esquerra Alta de l´Eixample;4;2;110;1.700 €;Piso
5259;Fort Pienc;4;2;134;1.500 €;Piso
5260;La Salut;;1;39;700 €;Ático
5261;Sarrià;3;2;105;1.750 €;Piso
5262;Vila de Gràcia;3;2;110;1.600 €;Apartamento
5263;St. Pere - Sta. Caterina - El Born;3;2;85;2.100 €;Piso
5264;Esquerra Baixa de l´Eixample;4;2;119;2.200 €;Piso
5265;Esquerra Baixa de l´Eixample;4;2;119;2.200 €;Piso
5266;Dreta de l´Eixample;;1;75;1.350 €;Piso
5267;Camp d´en Grassot - Gràcia N.;;1;40;695 €;Piso
5268;St. Pere - Sta. Caterina - El Born;;1;53;900 €;Piso
5269;Raval;2;1;50;850 €;Piso
5270;Les Corts;3;1;75;950 €;Piso
5271;Camp d´en Grassot - Gràcia N.;2;1;62;1.500 €;Piso
5272;Sagrada Família;5;2;180;1.950 €;Piso
5273;Font de la Guatlla;2;1;67;1.000 €;Piso
5274;Sarrià;2;2;130;1.950 €;Piso
5275;Gòtic;;1;77;1.190 €;Piso
5276;Poble Sec;3;2;118;1.300 €;Dúplex
5277;St. Pere - Sta. Caterina - El Born;;1;40;990 €;Piso
5278;Esquerra Alta de l´Eixample;;1;60;1.050 €;Ático
5279;St. Pere - Sta. Caterina - El Born;;1;65;1.150 €;Piso
5280;Raval;;;85;1.390 €;Piso
5281;Raval;3;1;80;1.350 €;Piso
5282;Camp de l´Arpa;3;2;110;2.150 €;Piso
5283;Poblenou;3;2;95;2.100 €;Piso
5284;Sants;2;1;60;1.390 €;Piso
5285;Sant Gervasi - Galvany;4;3;214;4.300 €;Piso
5286;Vila de Gràcia;2;1;87;1.340 €;Piso
5287;Font d´en Fargas;3;3;150;2.200 €;Chalet
5288;Tres Torres;4;2;140;3.000 €;Piso
5289;Les Corts;3;3;159;2.400 €;Piso
5290;Sant Gervasi - Bonanova;2;2;102;2.482 €;Piso
5291;Diagonal Mar - La Mar Bella;4;2;150;8.000 €;Piso
5292;Dreta de l´Eixample;;1;70;1.200 €;Piso
5293;Sant Gervasi - Bonanova;2;2;93;3.351 €;Piso
5294;Sant Gervasi - Galvany;2;1;82;1.650 €;Piso
5295;Raval;;1;1;950 €;Loft
5296;St. Pere - Sta. Caterina - El Born;;1;60;1.600 €;Apartamento
5297;Esquerra Baixa de l´Eixample;4;2;100;1.200 €;Piso
5298;Sants;;1;160;1.350 €;Loft
5299;Fort Pienc;2;1;65;1.150 €;Piso
5300;Navas;2;1;70;950 €;Piso
5301;Esquerra Alta de l´Eixample;2;1;89;1.400 €;Piso
5302;Provençals del Poblenou;;1;43;1.300 €;Piso
5303;Sant Gervasi - Galvany;3;3;93;1.600 €;Piso
5304;Vallcarca - Penitents;2;1;63;1.000 €;Piso
5305;Vilapicina - Torre Llobeta;2;1;65;1.200 €;Piso
5306;Vila de Gràcia;3;1;65;1.225 €;Piso
5307;Sant Gervasi - Galvany;2;1;70;1.250 €;Piso
5308;Sant Antoni;2;1;54;850 €;Piso
5309;Glòries El Parc;3;1;70;1.400 €;Apartamento
5310;Sarrià;2;2;60;1.450 €;Piso
5311;Poble Sec;2;1;85;1.100 €;Piso
5312;Esquerra Baixa de l´Eixample;3;1;85;1.300 €;Piso
5313;Les Corts;4;2;101;1.490 €;Apartamento
5314;Esquerra Alta de l´Eixample;3;2;72;1.100 €;Piso
5315;Putget - Farró;;1;40;680 €;Piso
5316;St. Pere - Sta. Caterina - El Born;;1;28;950 €;Piso
5317;Esquerra Alta de l´Eixample;4;2;110;1.400 €;Piso
5318;Dreta de l´Eixample;2;1;70;1.900 €;Piso
5319;Raval;2;2;75;1.450 €;Dúplex
5320;Pedralbes;3;3;185;3.750 €;Piso
5321;Sagrada Família;2;2;98;1.250 €;Piso
5322;Raval;;1;45;740 €;Dúplex
5323;Dreta de l´Eixample;2;1;70;1.900 €;Apartamento
5324;Sant Gervasi - Galvany;;1;42;900 €;Loft
5325;Sarrià;2;2;130;2.700 €;Piso
5326;Sarrià;;1;60;1.600 €;Piso
5327;Sant Gervasi - Galvany;3;3;140;2.190 €;Apartamento
5328;Putget - Farró;3;1;82;1.200 €;Piso
5329;Raval;;1;36;890 €;Piso
5330;Pedralbes;2;2;93;1.400 €;Piso
5331;Dreta de l´Eixample;3;3;138;2.600 €;Piso
5332;Vila de Gràcia;2;2;80;1.300 €;Piso
5333;Sant Andreu;2;1;75;1.300 €;Piso
5334;Dreta de l´Eixample;3;1;100;1.600 €;Piso
5335;Fort Pienc;4;1;63;1.300 €;Piso
5336;La Verneda - La Pau;3;2;100;1.400 €;Piso
5337;Sant Gervasi - Galvany;4;3;146;1.750 €;Piso
5338;Esquerra Alta de l´Eixample;4;2;105;1.661 €;Piso
5339;Dreta de l´Eixample;2;1;75;2.300 €;Piso
5340;Les Corts;;;;1.075 €;Loft
5341;Sant Gervasi - Bonanova;7;4;285;5.500 €;Casa
5342;Camp d´en Grassot - Gràcia N.;2;1;65;950 €;Piso
5343;Esquerra Alta de l´Eixample;3;2;95;1.500 €;Piso
5344;Baix Guinardó;4;2;90;1.300 €;Piso
5345;Sarrià;2;1;70;1.300 €;Piso
5346;Pedralbes;4;2;142;2.800 €;Piso
5347;Sarrià;2;2;105;2.750 €;Piso
5348;Sant Martí;2;2;65;1.150 €;Piso
5349;Congrés - Indians;4;1;95;1.150 €;Piso
5350;Taxonera;4;2;110;1.500 €;Piso
5351;Sant Gervasi - Bonanova;5;4;253;10.649 €;Piso
5352;Dreta de l´Eixample;2;2;100;2.650 €;Piso
5353;Besòs - Maresme;3;1;57;900 €;Piso
5354;St. Pere - Sta. Caterina - El Born;2;1;70;1.275 €;Piso
5355;St. Pere - Sta. Caterina - El Born;2;2;140;2.300 €;Apartamento
5356;Vall d´Hebron;3;1;70;950 €;Piso
5357;Sant Andreu;3;1;80;900 €;Piso
5358;Diagonal Mar - La Mar Bella;4;2;185;4.500 €;Piso
5359;Sarrià;4;2;110;1.700 €;Piso
5360;Esquerra Alta de l´Eixample;2;1;75;1.200 €;Piso
5361;Vila de Gràcia;3;1;69;1.225 €;Piso
5362;Putget - Farró;2;1;70;1.300 €;Piso
5363;Les Corts;2;1;2;1.300 €;Apartamento
5364;Vila de Gràcia;;1;60;1.150 €;Loft
5365;Sants;4;2;180;1.700 €;Ático
5366;Barceloneta;2;1;60;1.250 €;Piso
5367;Taxonera;4;2;110;1.600 €;Piso
5368;Raval;;1;50;1.167 €;Apartamento
5369;Taxonera;;1;65;850 €;Ático
5370;Sant Gervasi - Galvany;2;1;46;875 €;Piso
5371;Sant Genís dels Agudells;3;1;68;1.250 €;Piso
5372;Raval;3;1;73;1.800 €;Piso
5373;Fort Pienc;3;2;105;1.400 €;Piso
5374;Sants;3;1;50;950 €;Piso
5375;Sant Antoni;4;2;112;1.950 €;Piso
5376;La Bordeta;;2;110;1.100 €;Piso
5377;Sant Gervasi - Galvany;2;1;80;1.450 €;Piso
5378;Dreta de l´Eixample;3;2;90;1.550 €;Piso
5379;Camp de l´Arpa;2;1;72;980 €;Piso
5380;Dreta de l´Eixample;;1;67;1.550 €;Ático
5381;Bon Pastor;3;1;71;780 €;Piso
5382;Raval;2;1;60;1.100 €;Piso
5383;Raval;;1;32;630 €;Apartamento
5384;Diagonal Mar - La Mar Bella;3;2;96;1.990 €;Piso
5385;Raval;;1;32;630 €;Apartamento
5386;Diagonal Mar - La Mar Bella;3;2;96;1.990 €;Piso
5387;Dreta de l´Eixample;5;4;350;8.500 €;Ático
5388;Raval;2;1;47;1.150 €;Apartamento
5389;Dreta de l´Eixample;;1;45;1.300 €;Piso
5390;Sarrià;;1;45;900 €;Piso
5391;El Clot;4;1;85;2.000 €;Piso
5392;Gòtic;;1;40;1.900 €;Ático
5393;Sant Gervasi - Galvany;5;5;285;5.200 €;Piso
5394;Sant Antoni;3;1;70;1.200 €;Ático
5395;Navas;3;1;75;950 €;Piso
5396;Sants;2;1;53;1.200 €;Piso
5397;Guinardó;4;3;300;2.400 €;Casa
5398;Raval;;1;46;690 €;Piso
5399;Raval;2;1;115;1.500 €;Piso
5400;Dreta de l´Eixample;3;2;75;1.200 €;Piso
5401;Esquerra Alta de l´Eixample;4;3;160;2.100 €;Piso
5402;Hostafrancs;3;2;80;950 €;Piso
5403;Gòtic;;1;45;700 €;Apartamento
5404;La Sagrera;3;1;75;1.199 €;Piso
5405;Sant Gervasi - Bonanova;2;2;80;1.300 €;Planta
5406;Sarrià;2;1;94;1.550 €;Piso
5407;Poblenou;3;2;80;1.800 €;Piso
5408;Sant Gervasi - Bonanova;4;3;195;3.500 €;Piso
5409;Sant Gervasi - Galvany;2;1;57;1.300 €;Piso
5410;Sarrià;;1;25;625 €;Estudio
5411;St. Pere - Sta. Caterina - El Born;2;1;75;1.600 €;Apartamento
5412;El Coll;2;1;65;900 €;Piso
5413;Esquerra Baixa de l´Eixample;3;2;139;1.800 €;Piso
5414;Diagonal Mar - La Mar Bella;3;2;72;1.950 €;Piso
5415;Sant Gervasi - Galvany;5;3;250;3.900 €;Ático
5416;Glòries El Parc;2;1;70;1.400 €;Loft
5417;St. Pere - Sta. Caterina - El Born;2;1;91;900 €;Piso
5418;Sants;3;2;70;1.150 €;Piso
5419;Sagrada Família;3;1;80;960 €;Piso
5420;Esquerra Baixa de l´Eixample;2;1;70;1.100 €;Apartamento
5421;Raval;;1;40;900 €;Estudio
5422;Sants;;1;40;875 €;Piso
5423;Esquerra Alta de l´Eixample;;1;45;950 €;Ático
5424;Fort Pienc;;1;51;1.000 €;Piso
5425;Fort Pienc;3;2;120;1.450 €;Piso
5426;Sant Gervasi - Bonanova;4;3;170;2.400 €;Ático
5427;Gòtic;2;1;65;980 €;Piso
5428;Esquerra Alta de l´Eixample;4;2;105;1.661 €;Piso
5429;Camp de l´Arpa;3;2;80;950 €;Piso
5430;St. Pere - Sta. Caterina - El Born;3;1;90;1.200 €;Piso
5431;Esquerra Baixa de l´Eixample;2;1;70;1.600 €;Piso
5432;Sarrià;4;4;132;5.108 €;Piso
5433;Putget - Farró;;1;50;1.100 €;Apartamento
5434;Sant Gervasi - Galvany;;1;65;1.200 €;Piso
5435;Fort Pienc;;1;35;850 €;Estudio
5436;Camp d´en Grassot - Gràcia N.;3;1;75;1.090 €;Apartamento
5437;Raval;2;1;60;1.500 €;Piso
5438;Sant Gervasi - Bonanova;4;4;358;8.292 €;Planta
5439;Sagrada Família;3;2;81;1.100 €;Piso
5440;St. Pere - Sta. Caterina - El Born;2;1;55;1.050 €;Piso
5441;Vila de Gràcia;2;2;80;1.300 €;Piso
5442;Sant Antoni;3;2;97;1.000 €;Piso
5443;Sagrada Família;2;1;50;850 €;Piso
5444;Esquerra Alta de l´Eixample;2;2;90;1.540 €;Piso
5445;Vila de Gràcia;3;1;60;950 €;Piso
5446;Sant Gervasi - Galvany;2;1;100;1.550 €;Piso
5447;Can Baró;3;3;162;2.000 €;Apartamento
5448;Sant Ramon - Maternitat;4;2;111;1.601 €;Piso
5449;Dreta de l´Eixample;;1;55;1.699 €;Piso
5450;Diagonal Mar - La Mar Bella;2;1;68;1.300 €;Piso
5451;Poblenou;2;1;73;1.650 €;Piso
5452;Les Corts;;1;41;1.400 €;Piso
5453;Vallcarca - Penitents;3;2;147;1.750 €;Piso
5454;Dreta de l´Eixample;;4;600;8.500 €;Piso
5455;Dreta de l´Eixample;3;2;122;2.200 €;Piso
5456;St. Pere - Sta. Caterina - El Born;2;1;53;990 €;Piso
5457;Sant Ramon - Maternitat;4;2;135;1.800 €;Piso
5458;Esquerra Alta de l´Eixample;3;2;86;1.450 €;Piso
5459;St. Pere - Sta. Caterina - El Born;;1;35;1.090 €;Piso
5460;Poblenou;;1;55;1.750 €;Piso
5461;Glòries El Parc;3;1;75;1.600 €;Piso
5462;Provençals del Poblenou;;1;60;1.200 €;Piso
5463;Sant Martí;3;2;110;1.400 €;Piso
5464;Sarrià;2;2;105;1.600 €;Apartamento
5465;Dreta de l´Eixample;;1;108;1.950 €;Ático
5466;Dreta de l´Eixample;4;2;160;2.100 €;Piso
5467;Sant Gervasi - Galvany;;1;41;625 €;Estudio
5468;Tres Torres;;2;60;950 €;Piso
5469;Baix Guinardó;4;2;100;1.350 €;Piso
5470;St. Pere - Sta. Caterina - El Born;;1;35;900 €;Piso
5471;Sants;2;2;72;1.050 €;Piso
5472;Guinardó;;1;48;775 €;Loft
5473;El Coll;2;1;60;900 €;Piso
5474;Dreta de l´Eixample;;1;60;1.799 €;Piso
5475;Dreta de l´Eixample;;1;60;1.799 €;Piso
5476;St. Pere - Sta. Caterina - El Born;3;2;75;1.540 €;Piso
5477;Dreta de l´Eixample;4;2;120;2.000 €;Piso
5478;St. Pere - Sta. Caterina - El Born;;1;65;850 €;Loft
5479;Fort Pienc;2;2;100;1.700 €;Piso
5480;Barceloneta;;1;36;725 €;Piso
5481;St. Pere - Sta. Caterina - El Born;2;1;74;1.750 €;Piso
5482;Vila de Gràcia;3;1;98;1.800 €;Piso
5483;Putget - Farró;;1;60;1.100 €;Piso
5484;Sant Martí;3;2;100;1.350 €;Piso
5485;Esquerra Baixa de l´Eixample;2;2;100;2.000 €;Piso
5486;Putget - Farró;2;1;50;1.350 €;Ático
5487;Gòtic;;1;60;1.050 €;Piso
5488;Esquerra Alta de l´Eixample;2;1;77;1.280 €;Piso
5489;Raval;2;1;54;950 €;Piso
5490;Carmel;2;1;68;850 €;Piso
5491;La Sagrera;3;1;75;1.100 €;Piso
5492;Esquerra Alta de l´Eixample;3;2;90;1.350 €;Piso
5493;Font d´en Fargas;3;1;80;1.200 €;Piso
5494;Hostafrancs;;1;38;750 €;Ático
5495;Glòries El Parc;;1;40;850 €;Estudio
5496;Les Corts;2;1;110;1.300 €;Piso
5497;Sant Andreu;4;2;90;990 €;Piso
5498;Esquerra Baixa de l´Eixample;;;;875 €;Piso
5499;Vila de Gràcia;3;2;99;1.850 €;Piso
5500;Raval;;;60;1.100 €;Piso
5501;Raval;;1;42;1.100 €;Piso
5502;Camp d´en Grassot - Gràcia N.;3;1;60;1.200 €;Piso
5503;Guinardó;;;45;880 €;Ático
5504;Guinardó;;1;60;950 €;Piso
5505;Guinardó;2;1;76;800 €;Ático
5506;Sant Ramon - Maternitat;3;1;65;1.200 €;Ático
5507;Guinardó;4;2;98;970 €;Piso
5508;Poblenou;4;2;100;1.850 €;Ático
5509;Carmel;4;2;110;1.500 €;Ático
5510;Vallcarca - Penitents;2;1;63;1.000 €;Piso
5511;Carmel;3;1;70;945 €;Piso
5512;Raval;;1;60;1.500 €;Piso
5513;Barceloneta;;1;40;850 €;Piso
5514;Dreta de l´Eixample;;2;75;1.350 €;Piso
5515;Raval;2;1;73;1.200 €;Piso
5516;Guinardó;2;1;60;1.155 €;Piso
5517;Esquerra Baixa de l´Eixample;;1;35;850 €;Piso
5518;Diagonal Mar - La Mar Bella;3;2;120;3.500 €;Piso
5519;Sant Gervasi - Galvany;;1;65;1.100 €;Piso
5520;Sarrià;3;2;97;2.100 €;Piso
5521;Sarrià;3;2;140;1.850 €;Piso
5522;Sant Gervasi - Bonanova;5;2;200;2.400 €;Piso
5523;Sant Gervasi - Galvany;2;1;102;1.550 €;Apartamento
5524;Sagrada Família;3;2;70;1.300 €;Piso
5525;Sarrià;3;2;100;1.300 €;Piso
5526;Raval;;1;50;850 €;Piso
5527;La Verneda - La Pau;4;1;77;950 €;Piso
5528;Raval;4;2;128;2.350 €;Piso
5529;Dreta de l´Eixample;2;2;140;2.200 €;Piso
5530;Barceloneta;;1;32;1.000 €;Piso
5531;Sarrià;2;1;52;1.390 €;Piso
5532;Raval;;1;40;700 €;Piso
5533;Sagrada Família;;1;25;575 €;Piso
5534;Sarrià;2;1;58;1.150 €;Piso
5535;Dreta de l´Eixample;2;1;60;1.600 €;Piso
5536;Congrés - Indians;2;1;67;1.100 €;Piso
5537;La Marina-Montjuïc;4;2;100;1.200 €;Piso
5538;Taxonera;5;3;110;2.400 €;Ático
5539;Sant Gervasi - Galvany;2;1;160;6.500 €;Piso
5540;Diagonal Mar - La Mar Bella;3;2;105;1.600 €;Piso
5541;Sant Gervasi - Galvany;2;1;70;1.200 €;Piso
5542;Esquerra Alta de l´Eixample;3;2;90;1.200 €;Piso
5543;Vila de Gràcia;3;2;99;1.850 €;Piso
5544;Les Corts;2;2;135;2.500 €;Piso
5545;Camp d´en Grassot - Gràcia N.;;1;50;1.099 €;Apartamento
5546;Navas;3;1;100;1.040 €;Piso
5547;Sant Antoni;;1;50;1.350 €;Apartamento
5548;Dreta de l´Eixample;2;1;75;2.000 €;Piso
5549;Vila de Gràcia;3;1;100;1.200 €;Piso
5550;Porta;2;1;78;1.000 €;Piso
5551;Raval;;;49;950 €;Piso
5552;Can Baró;;1;45;950 €;Piso
5553;Fort Pienc;5;2;175;2.500 €;Piso
5554;Sants;4;2;105;1.700 €;Ático
5555;Sant Gervasi - Bonanova;;1;50;1.000 €;Piso
5556;Raval;2;1;50;900 €;Piso
5557;St. Pere - Sta. Caterina - El Born;3;2;110;1.500 €;Apartamento
5558;Putget - Farró;2;2;58;1.100 €;Piso
5559;Camp d´en Grassot - Gràcia N.;2;1;55;750 €;Piso
5560;Gòtic;3;2;149;2.200 €;Piso
5561;Dreta de l´Eixample;3;2;80;2.000 €;Piso
5562;Sant Andreu;;1;40;600 €;Piso
5563;Sant Gervasi - Galvany;2;1;75;900 €;Piso
5564;Dreta de l´Eixample;4;4;210;6.800 €;Apartamento
5565;Vila Olímpica;2;1;63;1.100 €;Apartamento
5566;Esquerra Baixa de l´Eixample;3;1;62;1.000 €;Piso
5567;Raval;;1;41;850 €;Loft
5568;Esquerra Baixa de l´Eixample;2;1;90;2.350 €;Ático
5569;Sants;3;1;70;1.100 €;Piso
5570;Dreta de l´Eixample;2;2;100;1.950 €;Piso
5571;Sant Gervasi - Galvany;;1;45;890 €;Apartamento
5572;Esquerra Baixa de l´Eixample;2;1;60;1.500 €;Piso
5573;Dreta de l´Eixample;2;2;60;1.800 €;Piso
5574;La Bordeta;;1;70;1.300 €;Ático
5575;Dreta de l´Eixample;2;2;82;1.295 €;Piso
5576;Sant Ramon - Maternitat;3;1;75;1.150 €;Piso
5577;Sant Antoni;;1;55;1.100 €;Piso
5578;St. Pere - Sta. Caterina - El Born;2;2;90;1.650 €;Piso
5579;Camp de l´Arpa;3;2;90;1.800 €;Piso
5580;Gòtic;2;1;95;1.650 €;Piso
5581;Les Corts;3;2;77;1.495 €;Piso
5582;Esquerra Baixa de l´Eixample;2;2;60;1.050 €;Piso
5583;Barceloneta;;1;30;700 €;Loft
5584;Taxonera;;1;70;650 €;Piso
5585;Sant Gervasi - Galvany;;1;54;1.628 €;Piso
5586;Gòtic;;;40;690 €;Estudio
5587;Dreta de l´Eixample;3;2;130;3.900 €;Apartamento
5588;Sant Gervasi - Galvany;;1;48;1.800 €;Piso
5589;Gòtic;;1;60;890 €;Piso
5590;Pedralbes;5;4;295;6.500 €;Ático
5591;La Sagrera;3;1;90;1.200 €;Piso
5592;Fort Pienc;3;2;123;1.500 €;Piso
5593;Sant Ramon - Maternitat;4;2;111;1.500 €;Piso
5594;Dreta de l´Eixample;;1;75;1.300 €;Loft
5595;El Clot;;1;70;840 €;Piso
5596;Carmel;2;1;65;850 €;Piso
5597;Gòtic;3;3;130;2.350 €;Piso
5598;Putget - Farró;2;1;60;1.500 €;Piso
5599;Esquerra Alta de l´Eixample;3;2;100;1.350 €;Piso
5600;Sarrià;2;2;105;2.750 €;Piso
5601;Poblenou;3;1;90;1.100 €;Piso
5602;Sant Gervasi - Galvany;;;50;800 €;Piso
5603;Dreta de l´Eixample;2;1;90;1.250 €;Piso
5604;Barceloneta;2;2;105;4.650 €;Apartamento
5605;Esquerra Alta de l´Eixample;;1;50;860 €;Apartamento
5606;Sant Gervasi - Bonanova;4;5;220;4.500 €;Piso
5607;Sant Antoni;2;2;70;1.200 €;Piso
5608;Esquerra Baixa de l´Eixample;3;1;78;950 €;Piso
5609;Les Corts;3;2;101;1.600 €;Piso
5610;Vila de Gràcia;3;2;96;1.400 €;Piso
5611;Sagrada Família;2;1;50;850 €;Piso
5612;Raval;;1;49;1.400 €;Apartamento
5613;Barceloneta;3;1;75;1.100 €;Apartamento
5614;Esquerra Alta de l´Eixample;2;1;80;1.790 €;Ático
5615;Poble Sec;4;1;78;1.150 €;Piso
5616;Vilapicina - Torre Llobeta;;1;26;625 €;Piso
5617;Esquerra Baixa de l´Eixample;3;1;80;1.180 €;Piso
5618;Sant Gervasi - Galvany;3;3;190;2.200 €;Piso
5619;Guinardó;4;2;91;1.100 €;Piso
5620;Diagonal Mar - La Mar Bella;3;2;90;1.450 €;Piso
5621;Diagonal Mar - La Mar Bella;2;2;80;1.650 €;Piso
5622;Sarrià;;;287;6.714 €;Casa
5623;Sant Gervasi - Galvany;4;2;100;1.500 €;Piso
5624;St. Pere - Sta. Caterina - El Born;;1;35;1.000 €;Piso
5625;Esquerra Baixa de l´Eixample;2;1;47;1.500 €;Piso
5626;Sant Gervasi - Bonanova;2;1;101;2.442 €;Piso
5627;Fort Pienc;4;1;82;1.200 €;Piso
5628;Dreta de l´Eixample;4;2;110;1.100 €;Piso
5629;Sant Gervasi - Galvany;;1;70;1.100 €;Ático
5630;Vila de Gràcia;3;2;90;1.575 €;Piso
5631;Camp d´en Grassot - Gràcia N.;2;2;110;1.150 €;Piso
5632;Gòtic;2;1;80;2.150 €;Piso
5633;St. Pere - Sta. Caterina - El Born;;;65;1.150 €;Piso
5634;Sant Gervasi - Bonanova;3;2;100;1.500 €;Piso
5635;Camp de l´Arpa;4;1;80;1.300 €;Piso
5636;Vila de Gràcia;2;1;75;1.200 €;Piso
5637;Fort Pienc;3;;100;1.600 €;Piso
5638;Raval;;1;50;900 €;Estudio
5639;Pedralbes;5;6;1;20.000 €;Casa
5640;St. Pere - Sta. Caterina - El Born;;1;60;1.400 €;Piso
5641;Dreta de l´Eixample;2;1;60;1.800 €;Piso
5642;Les Corts;4;2;110;1.200 €;Piso
5643;Sant Gervasi - Galvany;4;3;250;3.500 €;Piso
5644;Vila de Gràcia;2;1;40;1.300 €;Apartamento
